63, 4212, 124.15
63, 4212, 124.15
83, 4212, 133.13
83, 4212, 133.13
82, 4212, 138.14
82, 4212, 138.14
79, 4188, 140.37
79, 4188, 140.37
76, 4188, 140.29
76, 4188, 140.29
73, 4188, 139.83
73, 4188, 139.83
72, 4188, 139.54
72, 4188, 139.54
70, 4188, 138.64
72, 4188, 139.35
72, 4183, 139.35
77, 4183, 138.94
77, 4191, 138.94
85, 4191, 137.12
85, 4191, 137.12
81, 4191, 137.15
81, 4191, 137.15
84, 4191, 139.14
84, 4191, 139.14
92, 4191, 135.46
92, 4187, 135.46
98, 4187, 126.28
98, 4187, 126.28
74, 4187, 118.90
74, 4187, 118.90
75, 4187, 120.47
75, 4187, 120.47
89, 4187, 121.78
89, 4187, 121.78
95, 4187, 120.66
95, 4183, 120.66
69, 4191, 118.55
69, 4193, 118.55
73, 4195, 117.21
73, 4195, 117.21
72, 4195, 116.84
72, 4215, 116.84
71, 4215, 120.68
71, 4215, 120.68
78, 4206, 128.51
78, 4206, 128.51
74, 4206, 135.81
74, 4206, 135.81
74, 4206, 140.69
74, 4206, 140.69
83, 4206, 142.12
83, 4206, 142.12
86, 4206, 141.34
86, 4206, 141.34
74, 4202, 141.13
74, 4202, 141.13
73, 4215, 140.94
73, 4212, 140.94
80, 4212, 139.34
80, 4212, 139.34
80, 4207, 138.81
80, 4207, 138.81
75, 4207, 140.07
75, 4207, 140.07
71, 4202, 140.56
71, 4202, 140.56
71, 4202, 140.52
71, 4202, 140.52
82, 4202, 140.99
82, 4202, 140.99
70, 4202, 134.34
70, 4202, 134.34
98, 4207, 124.02
98, 4207, 124.02
78, 4203, 118.56
78, 4203, 118.56
73, 4205, 119.91
73, 4205, 119.91
74, 4205, 118.75
