51, 7327, 28.23
51, 7329, 28.23
6, 7329, 32.92
6, 7329, 32.92
40, 7329, 40.10
5, 7329, 36.81
5, 7329, 36.81
13, 7329, 36.51
13, 7329, 36.51
13, 7329, 36.24
13, 7329, 36.24
6, 7329, 36.69
6, 7329, 36.69
61, 7329, 40.87
61, 7329, 40.87
6, 7329, 37.25
6, 7329, 37.25
39, 7329, 40.23
39, 7329, 40.23
6, 7329, 35.40
6, 7329, 35.40
5, 7329, 36.79
5, 7329, 36.79
40, 7329, 41.49
40, 7328, 41.49
6, 7328, 35.76
6, 7328, 35.76
57, 7328, 37.01
57, 7328, 37.01
5, 7328, 37.98
5, 7328, 37.98
30, 7328, 40.98
30, 7328, 40.98
6, 7328, 35.49
6, 7328, 35.49
6, 7328, 36.31
6, 7328, 36.31
6, 7328, 37.00
6, 7328, 37.00
6, 7328, 32.76
6, 7328, 32.76
23, 7328, 30.46
23, 7328, 30.46
14, 7328, 26.54
14, 7327, 26.54
6, 7327, 26.11
6, 7327, 26.11
6, 7327, 27.31
22, 7327, 27.56
22, 7327, 27.56
21, 7327, 26.17
21, 7327, 26.17
6, 7327, 26.83
6, 7327, 26.83
20, 7327, 26.88
20, 7327, 26.88
22, 7327, 27.38
22, 7327, 27.38
7, 7327, 25.89
7, 7327, 25.89
6, 7327, 26.92
6, 7347, 26.92
22, 7347, 26.90
22, 7347, 26.90
19, 7347, 26.56
19, 7332, 26.56
6, 7332, 25.86
6, 7332, 25.86
6, 7332, 26.60
6, 7312, 26.60
22, 7312, 26.69
22, 7312, 26.69
6, 7312, 25.40
6, 7312, 25.40
6, 7312, 26.99
6, 7312, 26.99
6, 7312, 27.08
6, 7312, 27.08
23, 7312, 27.05
