3, 2213, 20.36
3, 2213, 20.36
5, 2213, 18.43
5, 2213, 18.43
2, 2213, 18.83
2, 2213, 18.83
2, 2213, 18.87
2, 2213, 18.87
3, 2213, 19.18
3, 2213, 19.18
2, 2213, 19.15
2, 2213, 19.15
4, 2213, 18.21
4, 2213, 18.21
5, 2213, 19.43
5, 2213, 19.43
2, 2213, 19.75
2, 2213, 19.75
2, 2213, 18.01
2, 2213, 18.01
3, 2213, 17.32
3, 2213, 17.32
1, 2213, 17.58
4, 2213, 19.40
4, 2213, 19.40
4, 2213, 20.89
4, 2213, 20.89
4, 2213, 20.92
4, 2213, 20.92
4, 2213, 20.91
4, 2213, 20.91
4, 2213, 20.91
4, 2213, 20.91
4, 2213, 20.83
4, 2213, 20.83
4, 2213, 20.78
4, 2213, 20.78
4, 2213, 20.87
4, 2213, 20.87
6, 2213, 21.28
6, 2213, 21.28
3, 2213, 20.27
3, 2213, 20.27
3, 2213, 18.51
3, 2213, 18.51
8, 2213, 18.64
8, 2213, 18.64
2, 2213, 20.33
2, 2213, 20.33
10, 2213, 21.80
10, 2213, 21.80
2, 2233, 20.52
2, 2233, 20.52
2, 2233, 20.47
2, 2233, 20.47
5, 2233, 20.31
3, 2233, 19.60
3, 2233, 19.60
2, 2233, 19.38
2, 2233, 19.38
2, 2233, 18.21
2, 2233, 18.21
1, 2233, 16.70
1, 2233, 16.70
4, 2233, 19.38
4, 2233, 19.38
4, 2233, 21.81
4, 2233, 21.81
5, 2233, 20.90
5, 2233, 20.90
4, 2233, 21.69
4, 2233, 21.69
4, 2233, 22.50
4, 2233, 22.50
4, 2253, 21.71
4, 2253, 21.71
4, 2253, 21.66
4, 2253, 21.66
